t, 26, err, 33, err, 36, err, 41, err, 45, err, 50, err, 56, err
ms, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV, eV
171.815, 471.0, 22.190137377872162, 641.0, 37.63542955410986, 831.0, 41.772816261643754, 901.0, 18.011641199348848, 741.0, 27.088050271881297, 741.0, 25.928930039216812, --, 
177.964, 381.0, 24.253853124845207, 601.0, 39.87130375586884, 831.0, 30.90648582794999, 901.0, 31.061504257637523, 861.0, 37.888929652353944, 651.0, 26.088841757828092, 161.0, 17.912340265603095
183.877, 301.0, 17.304127343171626, 691.0, 57.2227930517077, 721.0, 37.67777145226584, 781.0, 17.113653306848306, 731.0, 40.911696204329694, 581.0, 30.201447501902138, 211.0, 22.609974313266225
189.913, 291.0, 17.34707912462288, 741.0, 88.29203752832974, 741.0, 47.18361464492377, 901.0, 30.470011543421343, 751.0, 59.700184698391716, 721.0, 25.028079801047124, 181.0, 20.265304890959246
195.927, 321.0, 18.648331313661696, 521.0, 37.95801062738124, 751.0, 40.810291816647315, 851.0, 26.47008624413013, 721.0, 49.03979697313333, 621.0, 37.938974087873575, 211.0, 25.275445771723756
201.956, 331.0, 22.676290691452298, 591.0, 41.9284038908415, 721.0, 35.00032012621608, 861.0, 22.95487117172045, 811.0, 40.678199429321886, 701.0, 30.0944869472343, 211.0, 28.191064520060912
207.974, 301.0, 26.039288024718775, 591.0, 59.139067246954724, 721.0, 35.50005447260588, 851.0, 24.625816480884282, 661.0, 37.49825770364415, 641.0, 35.03650234768412, 201.0, 25.90046318675129
213.984, 381.0, 29.305385269172387, 671.0, 40.65475362367415, 761.0, 33.02236752306076, 891.0, 23.968572050868694, 781.0, 28.890395111245816, 601.0, 16.683061401372715, 171.0, 25.470151673115687
220.021, 371.0, 35.36518921408939, 601.0, 37.36822504124839, 681.0, 33.12783493001393, 871.0, 30.74237920346762, 711.0, 39.37495651535024, 691.0, 25.42825891158537, 171.0, 27.337391293055774
